job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
日企数据分析师(编号98398),上海艾杰飞人力资源有限公司,外资（非欧美） ,50-150人 ,专业服务(咨询、人力资源、财会),北京,0.8,1.5万/月,1年经验,本科,['带薪年假', '五险一金'],,,,,,,,
数据分析师,瑞幸咖啡（中国）有限公司,民营公司 ,5000-10000人 ,"快速消费品(食品、饮料、化妆品),互联网/电子商务",北京,1,1.5万/月,1年经验,本科,['五险一金', '餐饮补贴', '带薪年假'],,,,,,,
数据分析师,北京缀新网络技术有限公司,民营公司 ,50-150人 ,"互联网/电子商务,计算机软件",北京-海淀区,1.5,2万/月,3-4年经验,,['周末双休', '五险一金', '节日福利', '交通补贴', '餐饮补贴', '通讯补贴', '带薪年假', '加班补贴'],,
心理测评产品 数据分析师,北京哥大诺博教育科技股份有限公司,上市公司 ,150-500人 ,"互联网/电子商务,教育/培训/院校",北京-海淀区,1,1.5万/月,无工作经验,,['五险一金', '年终奖金', '弹性工作', '绩效奖金'],,,,,,
数据分析师,网信集团有限公司,上市公司 ,5000-10000人 ,"金融/投资/证券,互联网/电子商务",北京-朝阳区,1,1.5万/月,3-4年经验,,,,,,,,,,,
数据分析师(yj-js),龙信数据（北京）有限公司,民营公司 ,50-150人 ,"计算机服务(系统、数据服务、维修),专业服务(咨询、人力资源、财会)",北京,1,1.5万/月,2年经验,本科,,,,,,,,,,
风控数据分析师,北京泉壹贷科技有限公司,民营公司 ,少于50人 ,"金融/投资/证券,互联网/电子商务",北京-朝阳区,1,1.5万/月,2年经验,大专,['五险一金', '年终奖金', '员工旅游', '扁平管理', '发展空间宽广', '餐饮补贴'],,,,
大数据分析师 [ 北京 ],YOHO!有货（江苏）商贸服务有限公司,民营公司 ,1000-5000人 ,互联网/电子商务,北京-朝阳区,2,2.5万/月,5-7年经验,本科,,,,,,,,,,
资深数据分析师-北京-13343,优信集团,民营公司 ,10000人以上 ,"互联网/电子商务,汽车及零配件",北京-朝阳区,2,3万/月,无工作经验,本科,['五险一金', '补充医疗保险', '专业培训', '通讯补贴', '定期体检', '交通补贴', '绩效奖金'],,,
数据分析师 (MJ000766),挖财网络技术有限公司,民营公司 ,500-1000人 ,互联网/电子商务,北京-海淀区,1,1.5万/月,2年经验,本科,['五险一金', '弹性工作', '定期体检', '绩效奖金', '年终奖金', '股票期权', '员工旅游', '专业培训'],,
数据分析师,杭州东信北邮信息技术有限公司,国企 ,500-1000人 ,"通信/电信运营、增值服务,通信/电信/网络设备",北京-海淀区,0.6,1万/月,2年经验,本科,,,,,,,,,,
数据分析师,博彦科技股份有限公司,上市公司 ,10000人以上 ,"计算机软件,互联网/电子商务",北京,1,1.5万/月,2年经验,本科,['五险一金', '专业培训', '年终奖金', '弹性工作', '定期体检', '免费班车', '绩效奖金'],,,
电商数据分析师,小米通讯技术有限公司,民营公司 ,10000人以上 ,"互联网/电子商务,计算机软件",北京-海淀区,1,2万/月,3-4年经验,,['五险一金', '交通补贴', '餐饮补贴'],,,,,,,
数据分析师,远盟康健科技有限公司,外资（欧美） ,150-500人 ,医疗/护理/卫生,北京,1,1.8万/月,无工作经验,,['五险一金', '补充医疗保险', '定期体检'],,,,,,,
数据分析师,中国化工信息中心有限公司,国企 ,150-500人 ,"石油/化工/矿产/地质,专业服务(咨询、人力资源、财会)",北京,6,8千/月,3-4年经验,硕士,['五险一金', '定期体检', '餐饮补贴', '专业培训', '绩效奖金'],,,,,
高级数据分析师,中国风电集团有限公司,民营公司 ,1000-5000人 ,"新能源,电气/电力/水利",北京-海淀区,1,2万/月,无工作经验,本科,['五险一金', '餐饮补贴', '通讯补贴', '年终奖金'],,,,,,
告别高不成低不就 月薪过万金融外汇数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '通讯补贴'],
高级数据分析师,北京卓思天成数据咨询股份有限公司,民营公司 ,150-500人 ,专业服务(咨询、人力资源、财会),北京-朝阳区,0.8,1.1万/月,2年经验,本科,['五险一金', '补充医疗保险', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检'],,
数据分析师（可接受应届生）,北京卓思天成数据咨询股份有限公司,民营公司 ,150-500人 ,专业服务(咨询、人力资源、财会),北京-朝阳区,6,8千/月,无工作经验,本科,['五险一金', '补充医疗保险', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检'],,
高薪诚聘 数据分析师/助理 技术岗无销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,大专,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
